"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","Salary","FPts","FP/G","%D","ADP","Ros","+/-"
"*05oh0*","Jan-Paul van Hecke","TOT","D","D","23","FA","@BRF Sat 4:30PM","9,000","226.95","6.3","100","77.6","99%","0%"
"*04qr9*","Morgan Gibbs-White","NOT","M","M","24","FA","LEE Sat 2:00PM","9,000","223.45","6.04","100","12.6","100%","0%"
"*05l27*","Jarrad Branthwaite","EVE","D","D","294","FA","CRY Sat 2:00PM","9,000","52.25","5.22","95","135.2","73%","0%"
"*06pia*","Maxence Lacroix","CHE","D","D","28","FA","@FUL Mon 7:00PM","8,900","216.89","6.2","100","73.7","99%","0%"
"*05r94*","Iliman Ndiaye","EVE","M,F","M","40","FA","CRY Sat 2:00PM","8,900","208.23","6.51","100","37.8","100%","0%"
"*05nns*","Danny Ballard","SUN","D","D","101","FA","@IPS Sat 2:00PM","8,900","166.57","5.74","99","85.4","95%","0%"
"*0558w*","William Saliba","ARS","D","D","47","FA","COV Fri 7:00PM","8,800","202.37","6.53","69","186.8","59%","+4%"
"*06fxe*","Ryan Gravenberch","LIV","M","M","35","FA","@NEW Sun 3:30PM","8,700","212.83","5.91","100","85.9","98%","0%"
"*06pe1*","Mateus Fernandes","TOT","M","M","37","FA","@BRF Sat 4:30PM","8,700","210.39","5.84","99","73.3","98%","+1%"
"*06fup*","Jeremy Doku","MCI","M,F","M","36","FA","BOU Sun 1:00PM","8,600","212.29","7.08","99","14.7","100%","0%"
"*03yww*","Dean Henderson","CRY","G","G","50","FA","@EVE Sat 2:00PM","8,600","200.95","5.43","70","198.3","56%","+3%"
"*070hs*","Gianluigi Donnarumma","MCI","G","G","57","FA","BOU Sun 1:00PM","8,600","196.05","5.77","91","120.9","96%","+5%"
"*045ob*","Caoimhin Kelleher","BRF","G","G","43","FA","TOT Sat 4:30PM","8,400","205.75","5.56","96","146.2","91%","-2%"
"*05l8q*","Cole Palmer","CHE","M","M","144","FA","@FUL Mon 7:00PM","8,400","138.22","5.32","100","10.1","100%","0%"
"*03frx*","Ola Aina","NOT","D","D","181","FA","LEE Sat 2:00PM","8,400","119.28","6.63","74","181.4","44%","+6%"
"*03fgo*","Dominic Solanke","TOT","F","F","275","FA","@BRF Sat 4:30PM","8,400","63.64","4.24","100","63.3","98%","0%"
"*03rxs*","Harry Wilson","LEE","M,F","M","34","FA","@NOT Sat 2:00PM","8,300","213.81","5.94","100","51.4","99%","+1%"
"*0639x*","Marcus Tavernier","BOU","M","M","41","FA","@MCI Sun 1:00PM","8,300","206.82","6.08","100","43.4","100%","0%"
"*04qfz*","Diogo Dalot","MUN","D","D","67","FA","@HUL Sat 11:30AM","8,300","190.94","5.62","99","125.6","81%","+1%"
"*067yv*","Cody Gakpo","LIV","F","F","52","FA","@NEW Sun 3:30PM","8,200","199.44","5.54","100","27.1","100%","0%"
"*06do9*","Milos Kerkez","LIV","D","D","122","FA","@NEW Sun 3:30PM","8,200","152.87","4.5","100","73","99%","0%"
"*05y9n*","Lewis Hall","NEW","D","D","93","FA","LIV Sun 3:30PM","8,100","172.38","5.75","100","82.5","98%","-1%"
"*0700p*","Malick Thiaw","NEW","D","D","70","FA","LIV Sun 3:30PM","8,000","190.69","5.45","100","104.1","93%","-2%"
"*06mn0*","Igor Thiago","BRF","F","F","11","FA","TOT Sat 4:30PM","7,900","257.01","6.76","100","18.9","100%","+1%"
"*05tqx*","David Raya","ARS","G","G","49","FA","COV Fri 7:00PM","7,900","201.5","5.45","99","101.6","98%","+1%"
"*049tq*","Dominic Calvert-Lewin","LEE","F","F","55","FA","@NOT Sat 2:00PM","7,900","196.88","5.63","100","52.5","99%","+1%"
"*0635j*","Chris Richards","CRY","D","D","62","FA","@EVE Sat 2:00PM","7,900","193.3","5.86","98","101.7","91%","-1%"
"*04abb*","Phil Foden","MCI","M","M","73","FA","BOU Sun 1:00PM","7,900","188.75","5.72","100","45.4","99%","0%"
"*067zv*","Kevin Schade","BRF","M,F","F","74","FA","TOT Sat 4:30PM","7,900","188.63","5.39","100","77.2","97%","0%"
"*06znb*","Robin Roefs","SUN","G","G","81","FA","@IPS Sat 2:00PM","7,900","180.3","5.15","99","139.5","93%","-1%"
"*05ybq*","Vitalii Mykolenko","EVE","D","D","86","FA","CRY Sat 2:00PM","7,900","175.8","5.33","41","243.2","25%","-3%"
"*05rb8*","Moises Caicedo","CHE","M","M","96","FA","@FUL Mon 7:00PM","7,900","169.81","5.15","93","123.1","79%","+2%"
"*06fv8*","Mohammed Kudus","TOT","M","M","165","FA","@BRF Sat 4:30PM","7,900","128.68","6.77","100","36.1","99%","0%"
"*06ex4*","Josko Gvardiol","MCI","D","D","199","FA","BOU Sun 1:00PM","7,900","111.81","6.21","100","69.2","100%","0%"
"*05omu*","Ruben Dias","MCI","D","D","104","FA","BOU Sun 1:00PM","7,800","165.22","6.35","56","205.1","40%","+4%"
"*05o4b*","Matty Cash","AVL","D","D","60","FA","@BHA Sun 1:00PM","7,700","194.09","5.55","98","123.6","83%","+2%"
"*05os8*","Joachim Andersen","FUL","D","D","85","FA","CHE Mon 7:00PM","7,700","176.03","5.33","41","241.1","28%","-7%"
"*05nt6*","Eberechi Eze","ARS","M","M","103","FA","COV Fri 7:00PM","7,700","165.61","5.02","100","64.5","99%","0%"
"*0554i*","Joelinton","NEW","M","M","164","FA","LIV Sun 3:30PM","7,700","128.8","4.77","37","249.9","17%","+2%"
"*068lx*","Dango Ouattara","BRF","M,F","M","72","FA","TOT Sat 4:30PM","7,600","189.85","5.93","100","52.8","99%","0%"
"*05r34*","Amad Diallo","MUN","M,F","M","102","FA","@HUL Sat 11:30AM","7,600","165.8","5.18","100","61.5","99%","0%"
"*06rgg*","Michael Kayode","BRF","D","D","18","FA","TOT Sat 4:30PM","7,500","231.16","6.25","96","105.5","92%","+1%"
"*06mw0*","Nikola Milenkovic","NOT","D","D","65","FA","LEE Sat 2:00PM","7,500","191.46","5.04","78","178.4","43%","+6%"
"*063q8*","Mikkel Damsgaard","BRF","M","M","90","FA","TOT Sat 4:30PM","7,500","173.62","5.26","100","73.8","97%","0%"
"*06mpp*","Mats Wieffer","BHA","D,M","D","132","FA","AVL Sun 1:00PM","7,500","146.72","5.64","99","114.8","89%","-3%"
"*032f9*","Jordan Pickford","EVE","G","G","84","FA","CRY Sat 2:00PM","7,400","176.3","4.64","99","143","96%","+1%"
"*0522h*","Alexis Mac Allister","LIV","M","M","95","FA","@NEW Sun 3:30PM","7,400","170.42","4.61","99","115.8","86%","+1%"
"*04yo7*","Youri Tielemans","MUN","M","M","137","FA","@HUL Sat 11:30AM","7,400","142.79","5.71","100","55.8","100%","0%"
"*05opl*","Wesley Fofana","CHE","D","D","162","FA","@FUL Mon 7:00PM","7,400","130.04","5.2","7","285","6%","-3%"
"*062oh*","Jake O'Brien","EVE","D","D","48","FA","CRY Sat 2:00PM","7,300","201.5","5.45","51","229.6","26%","-4%"
"*06c6g*","Yankuba Minteh","BHA","M,F","M","64","FA","AVL Sun 1:00PM","7,300","191.92","5.64","100","45.7","97%","0%"
"*06fuw*","Djordje Petrovic","BOU","G","G","69","FA","@MCI Sun 1:00PM","7,300","190.8","5.02","83","173.1","78%","-10%"
"*068yd*","Joao Gomes","AVL","M","M","78","FA","@BHA Sun 1:00PM","7,300","183.84","5.25","54","216.9","37%","+9%"
"*02lsa*","Dan Burn","NEW","D","D","129","FA","LIV Sun 3:30PM","7,300","149.07","5.14","23","265.7","15%","0%"
"*04sjt*","Alisson Becker","LIV","G","G","163","FA","@NEW Sun 3:30PM","7,300","129.8","4.99","69","188.9","63%","+14%"
"*05ocl*","Ollie Watkins","AVL","F","F","51","FA","@BHA Sun 1:00PM","7,200","200.48","5.42","100","24.9","100%","0%"
"*056iy*","Pedro Neto","CHE","F","F","79","FA","@FUL Mon 7:00PM","7,200","182.57","5.37","100","50.2","99%","0%"
"*06fwz*","Murillo","NOT","D","D","149","FA","LEE Sat 2:00PM","7,200","136.7","5.47","56","215.2","29%","+2%"
"*05220*","Sepp van den Berg","BRF","D","D","61","FA","TOT Sat 4:30PM","7,100","193.83","6.06","38","233.8","39%","-26%"
"*04mr4*","Martin Dubravka","TOT","G","G","105","FA","@BRF Sat 4:30PM","7,100","164.8","4.71","0","-","2%","-1%"
"*068yc*","Yasin Ayari","BHA","M","M","128","FA","AVL Sun 1:00PM","7,000","149.37","5.15","88","172.3","52%","+3%"
"*02lm7*","Jack Grealish","MCI","M","M","140","FA","BOU Sun 1:00PM","7,000","140.63","7.03","98","111.2","85%","-6%"
"*060wh*","Alejandro Garnacho","AVL","M,F","M","219","FA","@BHA Sun 1:00PM","7,000","95.4","3.98","80","170.8","57%","-1%"
"*06f8y*","Alex Scott","BOU","M","M","29","FA","@MCI Sun 1:00PM","6,900","215.95","5.84","100","88.6","95%","0%"
"*0327r*","Michael Keane","EVE","D","D","75","FA","CRY Sat 2:00PM","6,900","187.43","5.68","23","266","11%","0%"
"*06jgs*","Adam Wharton","CRY","M","M","77","FA","@EVE Sat 2:00PM","6,900","186.5","5.49","98","126.2","79%","-6%"
"*038ze*","Alex Iwobi","FUL","M,F","M","130","FA","CHE Mon 7:00PM","6,900","149.02","5.14","100","71.8","97%","-2%"
"*06uyc*","Adrien Truffert","BOU","D","D","10","FA","@MCI Sun 1:00PM","6,700","261.32","6.88","100","65.4","99%","0%"
"*052ca*","Ezri Konsa","AVL","D","D","89","FA","@BHA Sun 1:00PM","6,700","173.91","5.12","36","241.3","26%","+4%"
"*05748*","Ismaila Sarr","CRY","M,F","M","116","FA","@EVE Sat 2:00PM","6,600","157.12","5.61","100","46","100%","0%"
"*04yme*","Robert Sanchez","CHE","G","G","118","FA","@FUL Mon 7:00PM","6,600","155.38","4.44","31","256.9","24%","+6%"
"*06phe*","Ferdi Kadioglu","BHA","D","D","42","FA","AVL Sun 1:00PM","6,500","206.17","5.57","93","132.8","69%","-1%"
"*067x8*","Nico O'Reilly","MCI","D,M","D","53","FA","BOU Sun 1:00PM","6,500","198.25","5.83","100","45.3","100%","0%"
"*05r8o*","Jean-Philippe Mateta","CRY","F","F","125","FA","@EVE Sat 2:00PM","6,500","151.58","4.74","100","67.8","99%","+1%"
"*05gcc*","Kiernan Dewsbury-Hall","EVE","M","M","45","FA","CRY Sat 2:00PM","6,400","204.23","6.59","100","53","100%","0%"
"*06cmu*","Bart Verbruggen","BHA","G","G","99","FA","AVL Sun 1:00PM","6,400","168.75","4.44","42","233.9","35%","+8%"
"*04fk1*","Pascal Gross","BHA","M","M","169","FA","AVL Sun 1:00PM","6,400","126.93","6.68","100","39.1","98%","+1%"
"*06xze*","Walter Benitez","CRY","G","G","355","FA","@EVE Sat 2:00PM","6,400","10","10","0","-","1%","0%"
"*04e1c*","Lewis Dunk","BHA","D","D","91","FA","AVL Sun 1:00PM","6,300","173.32","5.25","14","276.2","9%","0%"
"*06cms*","Sandro Tonali","TOT","M","M","112","FA","@BRF Sat 4:30PM","6,300","158.16","4.52","100","88.5","96%","0%"
"*051k0*","John McGinn","AVL","M","M","115","FA","@BHA Sun 1:00PM","6,300","157.26","5.24","99","116.8","86%","-5%"
"*05r9b*","Martin Odegaard","ARS","M","M","176","FA","COV Fri 7:00PM","6,300","120.19","5.01","100","28.8","100%","0%"
"*04tig*","Fabian Schar","NEW","D","D","231","FA","LIV Sun 3:30PM","6,300","88.48","5.53","5","287.5","4%","-3%"
"*06v07*","Rayan Cherki","MCI","M","M","26","FA","BOU Sun 1:00PM","6,200","221.67","6.72","100","13.1","100%","0%"
"*06zbx*","Anton Stach","LEE","M","M","46","FA","@NOT Sat 2:00PM","6,200","202.53","6.98","100","26.2","98%","+1%"
"*04qor*","Bernd Leno","FUL","G","G","88","FA","CHE Mon 7:00PM","6,200","175.4","4.62","27","259.7","18%","0%"
"*06clz*","Malo Gusto","CHE","D","D","109","FA","@FUL Mon 7:00PM","6,200","160.1","4.71","35","250.1","18%","-4%"
"*05uoc*","Cristian Romero","TOT","D","D","151","FA","@BRF Sat 4:30PM","6,200","135.33","5.88","22","263.6","13%","-4%"
"*06nu7*","Riccardo Calafiori","ARS","D","D","113","FA","COV Fri 7:00PM","6,100","158.12","6.08","100","74.4","99%","+1%"
"*070hq*","Piero Hincapie","ARS","D","D","161","FA","COV Fri 7:00PM","6,100","130.41","5.22","98","127.5","81%","-2%"
"*0554g*","Calvin Bassey","FUL","D","D","108","FA","CHE Mon 7:00PM","6,000","160.72","5.36","10","280.8","8%","-1%"
"*06zbz*","Hugo Ekitike","LIV","F","F","111","FA","@NEW Sun 3:30PM","6,000","158.71","5.67","67","206.6","49%","-7%"
"*02lz0*","Emiliano Martinez","AVL","G","G","120","FA","@BHA Sun 1:00PM","6,000","154","4.81","88","163.7","79%","0%"
"*05oeh*","Kenny Tete","FUL","D","D","146","FA","CHE Mon 7:00PM","6,000","138.04","6.27","30","258.6","18%","-2%"
"*061va*","Boubacar Kamara","AVL","M","M","202","FA","@BHA Sun 1:00PM","6,000","109.52","6.08","51","227","31%","-1%"
"*06ezb*","Micky van de Ven","TOT","D","D","94","FA","@BRF Sat 4:30PM","5,900","171.42","4.9","56","202.6","44%","+12%"
"*06p6j*","Evanilson","BOU","F","F","98","FA","@MCI Sun 1:00PM","5,900","169.31","4.7","98","99.9","92%","+2%"
"*06mow*","Jorgen Strand Larsen","CRY","F","F","184","FA","@EVE Sat 2:00PM","5,900","118.7","3.3","51","227.6","32%","-9%"
"*05os4*","Rayan Ait-Nouri","MCI","D","D","225","FA","BOU Sun 1:00PM","5,900","94.07","5.53","95","131.8","76%","-4%"
"*0435m*","Granit Xhaka","SUN","M","M","31","FA","@IPS Sat 2:00PM","5,800","214.85","6.32","100","100.9","94%","-1%"
"*0521z*","James Justin","LEE","D","D","117","FA","@NOT Sat 2:00PM","5,800","156.3","5.39","62","216.3","39%","-9%"
"*06cmb*","Guglielmo Vicario","TOT","G","G","155","FA","@BRF Sat 4:30PM","5,800","133.25","4.3","5","288.3","4%","-3%"
"*04io4*","Richarlison","TOT","F","F","87","FA","@BRF Sat 4:30PM","5,700","175.55","5.49","86","167.9","61%","-6%"
"*06rlj*","Patrick Dorgu","MUN","D","D","119","FA","@HUL Sat 11:30AM","5,700","154.29","5.93","100","51.2","98%","0%"
"*044ei*","Nick Pope","NEW","G","G","156","FA","LIV Sun 3:30PM","5,700","133.02","4.93","51","225.9","42%","-16%"
"*04mi4*","Callum Hudson-Odoi","NOT","F","F","159","FA","LEE Sat 2:00PM","5,700","131.81","4.39","67","201.6","45%","-8%"
"*061vb*","James Hill","BOU","D","D","83","FA","@MCI Sun 1:00PM","5,600","177.21","6.11","99","67.1","95%","-1%"
"*070g7*","Nick Woltemade","NEW","F","F","136","FA","LIV Sun 3:30PM","5,600","142.99","4.33","100","91.4","94%","+1%"
"*06zxy*","Benjamin Sesko","MUN","F","F","150","FA","@HUL Sat 11:30AM","5,600","136.42","4.55","100","52.3","98%","+1%"
"*04f6h*","Matz Sels","NOT","G","G","123","FA","LEE Sat 2:00PM","5,500","152.47","4.92","54","227.7","33%","0%"
"*070hl*","Senne Lammens","MUN","G","G","127","FA","@HUL Sat 11:30AM","5,500","149.9","4.68","85","174.1","74%","+4%"
"*052cb*","Ian Maatsen","AVL","D","D","183","FA","@BHA Sun 1:00PM","5,500","119.01","3.97","88","158.4","62%","0%"
"*03rzp*","Antonee Robinson","FUL","D","D","193","FA","CHE Mon 7:00PM","5,500","113.74","5.17","100","67","98%","-1%"
"*05ubv*","Omari Hutchinson","NOT","F","F","141","FA","LEE Sat 2:00PM","5,400","139.75","4.51","73","189.4","52%","-13%"
"*062ci*","Kaoru Mitoma","BHA","M","M","206","FA","AVL Sun 1:00PM","5,400","105.56","4.22","100","92.6","94%","-1%"
"*05gcs*","Sander Berge","FUL","M","M","124","FA","CHE Mon 7:00PM","5,300","151.99","4.34","11","281.5","7%","-2%"
"*070f9*","Yeremy Pino","CRY","M","M","143","FA","@EVE Sat 2:00PM","5,300","138.51","4.07","98","110.1","86%","-3%"
"*070cj*","Noah Okafor","LEE","F","F","147","FA","@NOT Sat 2:00PM","5,300","137.05","4.89","96","128.3","77%","-9%"
"*070fa*","Xavi Simons","TOT","M","M","157","FA","@BRF Sat 4:30PM","5,300","132.55","4.73","5","287","7%","-2%"
"*02lnx*","Danny Welbeck","CHE","F","F","133","FA","@FUL Mon 7:00PM","5,200","145.93","3.94","70","197.5","55%","-15%"
"*04tzt*","Jefferson Lerma","CRY","M","M","158","FA","@EVE Sat 2:00PM","5,200","132.48","4.27","1","291.6","2%","-1%"
"*05tre*","Vitaly Janelt","BRF","M","M","186","FA","TOT Sat 4:30PM","5,200","118.32","4.73","14","278.2","6%","-3%"
"*02oq6*","Luke Shaw","MUN","D","D","56","FA","@HUL Sat 11:30AM","5,100","196.85","5.18","53","221.9","33%","+5%"
"*05w7t*","Pape Sarr","TOT","M","M","179","FA","@BRF Sat 4:30PM","5,100","119.61","4.6","4","288.4","4%","-1%"
"*063hu*","Amadou Onana","AVL","M","M","191","FA","@BHA Sun 1:00PM","5,100","114.41","4.58","0","-","2%","-1%"
"*072wq*","Rayan","BOU","F","F","228","FA","@MCI Sun 1:00PM","5,100","91.4","6.09","100","22.3","100%","0%"
"*062p3*","Keane Lewis-Potter","BRF","M,F","M","131","FA","TOT Sat 4:30PM","5,000","148.07","4.11","58","217.4","33%","-8%"
"*062ts*","Djed Spence","TOT","D","D","148","FA","@BRF Sat 4:30PM","5,000","136.98","4.57","81","168.7","55%","+1%"
"*04hk9*","Mikel Merino","ARS","M","M","207","FA","COV Fri 7:00PM","5,000","104.83","4.76","38","246.1","21%","-1%"
"*05mzz*","Pascal Struijk","BHA","D","D","66","FA","AVL Sun 1:00PM","4,900","191.46","5.63","91","140.1","68%","-5%"
"*062a9*","Sven Botman","NEW","D","D","135","FA","LIV Sun 3:30PM","4,900","143.75","5.75","96","102.7","89%","-2%"
"*03am7*","Jacob Murphy","NEW","M","M","198","FA","LIV Sun 3:30PM","4,900","112.19","3.4","36","249.8","16%","-3%"
"*06crm*","Pau Torres","AVL","D","D","205","FA","@BHA Sun 1:00PM","4,900","106.87","5.09","9","283.4","5%","-1%"
"*04e1e*","Ben White","ARS","D","D","268","FA","COV Fri 7:00PM","4,900","67.46","5.62","41","241.3","24%","+9%"
"*06v0p*","Enzo Le Fee","SUN","M","M","38","FA","@IPS Sat 2:00PM","4,800","210.16","5.84","100","52.3","99%","0%"
"*04lav*","Ethan Ampadu","LEE","D,M","M","44","FA","@NOT Sat 2:00PM","4,800","204.57","5.84","90","138","67%","-6%"
"*061vp*","Brenden Aaronson","LEE","M","M","63","FA","@NOT Sat 2:00PM","4,800","192.41","5.2","49","231.6","28%","-8%"
"*06v21*","Florian Wirtz","LIV","M","M","80","FA","@NEW Sun 3:30PM","4,800","181.01","5.49","100","8.8","100%","0%"
"*066r9*","Ehor Yarmolyuk","BRF","M","M","100","FA","TOT Sat 4:30PM","4,800","167.71","4.53","5","287.4","4%","-1%"
"*05tr9*","Mathias Jensen","BRF","M","M","107","FA","TOT Sat 4:30PM","4,800","161.3","4.48","72","198.4","40%","-11%"
"*06y9z*","Martin Zubimendi","ARS","M","M","71","FA","COV Fri 7:00PM","4,700","190.47","5.01","35","248.9","24%","-1%"
"*04o82*","Curtis Jones","LIV","M","M","126","FA","@NEW Sun 3:30PM","4,700","151.21","4.45","5","287.2","4%","-1%"
"*0689w*","Georginio Rutter","BHA","F","F","166","FA","AVL Sun 1:00PM","4,700","128.55","4.02","64","192.7","41%","+18%"
"*0524k*","Rodri","MCI","M","M","171","FA","BOU Sun 1:00PM","4,700","123.97","5.9","65","197","60%","-20%"
"*061vk*","Jaidon Anthony","BRF","M,F","M","58","FA","TOT Sat 4:30PM","4,600","195.28","5.28","98","118.7","80%","-1%"
"*06r5b*","Diego Gomez","BHA","M","M","134","FA","AVL Sun 1:00PM","4,600","144.06","4.5","96","121.3","80%","-6%"
"*068yt*","Sasa Lukic","IPS","M","M","173","FA","SUN Sat 2:00PM","4,600","121.71","4.68","29","260.9","14%","-6%"
"*03gu4*","Harry Maguire","MUN","D","D","174","FA","@HUL Sat 11:30AM","4,600","121.09","5.26","94","125.5","82%","-4%"
"*05uel*","Kristoffer Ajer","BRF","D","D","175","FA","TOT Sat 4:30PM","4,600","120.87","4.48","2","290.9","3%","-1%"
"*062h7*","Tyler Adams","BOU","M","M","197","FA","@MCI Sun 1:00PM","4,600","112.5","4.5","26","265.6","16%","-4%"
"*06v0g*","Trai Hume","SUN","D","D","59","FA","@IPS Sat 2:00PM","4,500","194.68","5.12","83","171.9","63%","-8%"
"*06fxu*","Ibrahim Sangare","NOT","M","M","153","FA","LEE Sat 2:00PM","4,500","133.88","4.78","4","288.6","6%","0%"
"*05ylw*","Rodrigo Bentancur","TOT","M","M","172","FA","@BRF Sat 4:30PM","4,500","122.57","4.71","4","287.7","3%","0%"
"*070hc*","Brian Brobbey","SUN","F","F","185","FA","@IPS Sat 2:00PM","4,500","118.43","3.82","99","92","95%","0%"
"*04p0d*","Dwight McNeil","CRY","M,F","M","259","FA","@EVE Sat 2:00PM","4,500","73.7","3.35","23","265.9","19%","+7%"
"*04abn*","Harvey Barnes","NEW","M","M","154","FA","LIV Sun 3:30PM","4,400","133.55","3.61","100","95.2","96%","+1%"
"*061ve*","Ryan Christie","BOU","M","M","237","FA","@MCI Sun 1:00PM","4,400","85.92","3.3","4","288.6","2%","-1%"
"*06p4k*","Matthijs de Ligt","MUN","D","D","260","FA","@HUL Sat 11:30AM","4,400","73.29","5.64","9","281.5","6%","-4%"
"*072zp*","Melker Ellborg","SUN","G","G","336","FA","@IPS Sat 2:00PM","4,400","20.4","6.8","1","289.2","1%","0%"
"*051k7*","Reece James","CHE","D","D","76","FA","@FUL Mon 7:00PM","4,300","187.02","6.45","100","64.4","100%","0%"
"*05uhj*","Conor Bradley","LIV","D","D","250","FA","@NEW Sun 3:30PM","4,300","79.39","5.29","6","285.5","4%","-1%"
"*05o8o*","Jayden Bogle","LEE","D","D","92","FA","@NOT Sat 2:00PM","4,200","172.49","5.07","16","276.7","9%","+1%"
"*06fvn*","Beto","EVE","F","F","145","FA","CRY Sat 2:00PM","4,200","138.18","3.73","91","127","76%","-10%"
"*070ha*","Florentino","IPS","M","M","189","FA","SUN Sat 2:00PM","4,200","116.61","3.76","0","-","2%","+1%"
"*04ug0*","Sean Longstaff","LEE","M","M","218","FA","@NOT Sat 2:00PM","4,200","95.94","4.17","4","286.5","3%","0%"
"*051k8*","Conor Gallagher","TOT","M","M","257","FA","@BRF Sat 4:30PM","4,200","75.04","4.69","47","235.7","25%","+1%"
"*03pif*","Karl Darlow","MUN","G","G","194","FA","@HUL Sat 11:30AM","4,100","113.6","5.16","1","289.1","2%","-1%"
"*06rm7*","Nico Gonzalez","MCI","M","M","196","FA","BOU Sun 1:00PM","4,100","112.83","4.51","6","286.9","4%","-1%"
"*070ci*","Amine Adli","BOU","F","F","203","FA","@MCI Sun 1:00PM","4,100","107.45","3.47","6","285.9","4%","-3%"
"*068n8*","Noni Madueke","ARS","M,F","M","220","FA","COV Fri 7:00PM","4,100","95.24","3.66","89","157.4","69%","-8%"
"*0646f*","Alexander Isak","LIV","F","F","302","FA","@NEW Sun 3:30PM","4,100","44.9","3.21","100","13.3","100%","0%"
"*04qfm*","Ryan Sessegnon","FUL","D,M","D","188","FA","CHE Mon 7:00PM","4,000","117.89","4.37","17","276.4","9%","-1%"
"*06ab3*","Lewis Miley","NEW","M","M","190","FA","LIV Sun 3:30PM","4,000","114.9","5","51","231.6","25%","-4%"
